,2012,,2013,,2014,,2015,,2016,,2017,,,,,,,,,
South Carolina,7282,225,7304,227,7672,229,7991,235,8219,250,8614,261,1796,1590,3.03,"3,386.00",7.71,20.85,18.46,3.03
South Dakota,7417,203,7468,208,7611,213,7786,229,8102,233,8091,241,1733,1327,2.98,"3,060.00",7.88,21.42,16.40,2.98
Tennessee,6636,252,6511,266,6585,273,6676,274,6779,272,6918,295,1459,1745,4.26,"3,204.00",9.21,21.09,25.22,4.26
Texas,7008,250,7016,251,7254,259,7456,266,7676,275,7983,289,1994,1347,3.62,"3,341.00",8.65,24.98,16.87,3.62
United States,8258,309,8317,312,8543,320,8858,327,9165,338,9456,352,2031,2086,3.72,"4,117.00",8.55,21.48,22.06,3.72
Utah,7531,235,7428,234,7244,245,7564,231,7868,219,8379,239,1651,1262,2.85,"2,913.00",8.20,19.70,15.06,2.85
Vermont,10190,307,10442,321,10827,330,11227,348,11596,334,11774,350,2644,2957,2.97,"5,601.00",6.25,22.46,25.11,2.97
Virginia,7650,255,7856,261,8022,269,8247,278,8475,282,8705,298,2081,1421,3.42,"3,502.00",8.51,23.91,16.32,3.42
Washington,8448,254,8261,252,8733,272,9252,279,9641,287,10037,277,2121,1668,2.76,"3,789.00",7.31,21.13,16.62,2.76
West Virginia,7845,196,7916,195,7972,198,8516,203,8863,212,9012,217,1706,2763,2.41,"4,469.00",4.86,18.93,30.66,2.41
Wisconsin,8232,312,8228,315,8626,307,8856,316,8849,328,9288,322,1960,2193,3.47,"4,153.00",7.75,21.10,23.61,3.47
Wyoming,14026,368,13848,376,14024,371,14882,380,15538,400,15393,387,3298,1493,2.51,"4,791.00",8.08,21.43,9.70,2.51
